餐廳名稱,消費時間,餐廳區域,餐廳地址,營業時間,電話,平均價位,推薦菜色
伴 土鍋炊飯,2017年/10月,高雄,高雄市鼓山區美術南三路62號1樓,11:30 - 14:00 、 17:00 - 21:00,07 522 4608,,
豆腐村-左營新光彩虹市集店,2017/12,高雄,高雄市左營區高鐵路123號3F,11：00-22：00,(07)345-5824,,
立林鐵板燒,2018年03月,高雄,店家地址：高雄市苓雅區青年一路102號,11：00～14：30 / 17：00～22：00,店家電話：07 222 3101,,
原味好食 早午餐,2018年/3月,高雄,高雄市三民區大豐二路147號,8:00~15:00  (最晚收客14:00) 周三公休,07-396-5536,,
東石蚵男,2017年/10月,高雄,高雄市民生一路390號,18:00-23:30,0988-085-701,,
平承八六-屋台流日式拉麵屋,2018年/01月,高雄,高雄市鳳山區立德街230巷20號,16:30-23:00 (休日,07 741 6322,,
"Bitch小姐,Bitch Fry-Fry",2017/11月,高雄,高雄,,0936-771-960,,
吉品香小火鍋,106年/12月,高雄,高雄市小港區宏平路372號,星期一~星期五 11:00~14:30 16:30~22:00 星期六~星期日 11:00~22:00,07-8053392(不接受預約),,
咘然居早午餐buranchi,2017年/10月,高雄,高雄市大豐二路217號,7:00 - 14:30,07 383-8830,,
六木,2017年9月,高雄,店家地址：高雄市鼓山區美術北一街59-1號,10：30～16：30（週三公休）,店家電話：07 522 4459,,
鴻泰興,2017年/11月,高雄,高雄市鼓山區文忠路121號,11:00-14:00、17:00-21:30,07 555 0093,,
替人著想小餐館 懂壽司,2017年12月,高雄,店家地址：高雄市小港區鳳福路31號,12：00～14：00 / 17：30～21：00（週一店休）,店家電話：07 807 0087 （建議一定要預約）,,
Chat Cha恰恰食茶鋪,2017年/6月,高雄,高雄市小港區宏平路299號,10:00~21:00,07-8035558,,
瑞彼特早午餐,2018年1月,高雄,高雄市苓雅區民權一路43號, 09:00~17:00,07-338-9700,,
Woosaパンケーキ 屋莎鬆餅屋 高雄大遠百店,2018年2月11日,高雄,高雄市苓雅區三多四路21號2樓,每天 11:00~22:00,(07) 338-3806,,
大心 新光三越三多店,2017年/11月,高雄,高雄市前鎮區三多三路213號B2（新光三越高雄三多店),11:00~22:00,07-3320868,,
近花園手作早午餐,106年11月,高雄, 高雄市鳳山區瑞興路20號(在轉角),週二~周日08:00~16:00(周一公休),無,,
with me 法式藝文古董咖啡廳,2017年/11月,高雄,高雄市前鎮區南天街111 號1 樓,9AM–5:30PM(休二,07 338 9549,,
Trattoria Venti義大利餐酒館,2018年/3月,高雄,高雄市鼓山區青海路277號,11:30-15:30  17:30-21:30,07-5500150,,
金聖春活海產,2017年11月,高雄,高雄市旗津區中洲二路中洲巷68之22號,11:00-14:30 17:00-21:00,07-5713603,,
花貓草食堂,2017年/12月,高雄,高雄市小港區漢民路799號,6:00-15:00,07-8019770,,
正義蚵仔麵線 苓雅分店,2018年/2月,高雄,高雄市苓雅區苓雅二路104號,7:30~21:00,07-3361516,,
吉林蒸餃,2018年1月,高雄,高雄市三民區吉林街134號,16:00~24:00,(07)313-7939,,
老江紅茶牛奶,2018年/3月,高雄,高雄市新興區南台路51號,24小時,07 287 7317,,
新和食 己越,2018年02月,高雄,店家地址：高雄市鳳山區文衡路433號,11：00～14：00 / 17：00～21：00（週一公休）,店家電話：07 780 2333,,
高雄 三民  莎露烘焙餐廳,2017年/10月,高雄,高雄市三民區褒揚東街168號,11:30-22:00,07-7678018,,
福來肉圓,2017年4月,高雄,高雄市前鎮區崗山中街157號,0610-1330,(07) 751-1903,,
水源羊肉爐,2017年/3月,高雄,高雄市鹽埕區七賢三路255號,17:00~2:00,07-521-2590,,
Hotel Indigo英迪格-Wok on the park,2018年/03月,高雄,高雄市新興區中山一路4號,"11:00-14:00, 18:00-21:00",07-272-1888,,
新青年夜市,2018年/04月,高雄,高雄市前鎮區凱旋四路788號,四-日 16:00-00:00,,,
中日亭大眾酒藏,2017年12月,高雄,高雄市苓雅區林德街33號,11:30~14:30; 17:00~22:00,07-751-2639,,
春水堂人文茶館-和平店,2018年/03月,高雄,高雄市苓雅區和平一路138號,10:30-22:30,07 223 1436,,
福澤明太 鮓 日本料理,2018年1月,高雄,店家地址：高雄市鼓山區明誠四路41號,11：30～14：30 / 17：30～21：30（週一公休）,店家電話：07 522 8008,,
五柳食堂,106年10月,高雄, 高雄市鼓山區龍德路265號,11:00~14:00，17:00~20:30,07-5521855,,
廣澤 鮓 日本料理,2017年11月,高雄,店家地址：高雄市前金區文武二街163號,11：30～14：00 / 17：30～21：30（週二店休）,店家電話：07 231 1922,,
大之牛 日式炸牛排專賣店,2017年10月,高雄,店家地址：高雄市鼓山區華榮路10號,11：30～14：00 / 17：00～21：00,店家電話：07 550 5066,,
小飲涼茶,2017年/8月,高雄,高雄市成功一路276號 (近新田路口),10:00-20:30,07 231-5677,,
中村製麵,2018年/01月,高雄,高雄市苓雅區成功一路231號,"11:30–1:30, 5:30–20:30",07 241 2210,,
矢野系豚骨拉麵-高雄店,2018年/01月,高雄,高雄市苓雅區自強三路71號,"11:00-14:30, 17:00-20:00 週五六-22:00 (休一)",07 269 5011,,
緣味廚房,2017年/11月,高雄,高雄市鼓山區哨船街89之1號,"1AM–2PM, 5–8PM",0985-214-052,,
NO.4 PASTA 義大利麵肆號商行,2017年/11月,高雄,高雄市新興區新田路4號,午11:30-14:30 晚17:30-21:30,07-2810266,,
桂林有莉肚包雞,2017/11月,高雄,829 高雄市湖內區中山路一段201號,,07-6937228,,
蝸牛壽司 滙景屋,2017年11月,高雄,店家地址：高雄市前鎮區林森三路140號,11：30～14：30 / 17：30～21：00（週四公休）,店家電話：07 331 8969,,
喜園川菜,2018年/02月,高雄,高雄市前金區大同一路208號,"11:00–14:00, 17:00–21:00",07 241 1328,,
巨揚餛飩,2017年5月,高雄,高雄市苓雅區苓雅一路199號,1130-1930(周一公休),(07)335-4772,,
Coolplay酷玩茶飲炸雞,2018年/1月,高雄,高雄市楠梓區德民路645號1樓,,07-3641615,,
三星園抹茶 民合茶屋,2018年1月20日,高雄,高雄市新興區民族二路50號,每天 10:30~22:30,(07) 226-1616,,
Fatty's 複合式餐廳,2017年/11月,高雄,高雄市鳥松區大埤南路42號,11:00~14:30；17:00~21:00,07-7313851,,
ZAKUZAKU 棒棒泡芙,2017年/10月,高雄,高雄左營區漢神巨蛋購物廣場B1[B,11:00-22:00,,每人平均價位：$88-98,
古川壽喜燒,2017年/10月,高雄,高雄市苓雅區建華街238號,,07 727-7676,,
吉連手工包子饅頭,2017年/10月,高雄,高雄市前鎮區公正路175號(旺來昌旁邊),11：30～19：00,,,
悅品 無米粥,2017年/12月,高雄,高雄市前鎮區忠勤路8號,11:30~14:30；17:30~22:00,07-536-2999,,
翰品酒店-品日式料理,2018年/01月,高雄,高雄市鹽埕區大仁路43號,"11:00-14:00, 17:00-21:00",07 561-4688 #3232,,
居酒屋二七,2018年1月,高雄,店家地址：高雄市新興區文橫2路127巷13號,週一：18：30～22：00（可預約或收客到 20:30）／週二店休,店家電話：07 221 2069,,
汕頭陽春麵,2017年/10月,高雄,高雄市四維二路147號,15:30-22:00(休日,(07)722-2835,,
昌平炸雞王,2017年/9月,高雄,高雄市三民區覺民路609號,15:00–22:00,0908-982-882,,
里賀 居酒食堂,2017年11月,高雄,店家地址：高雄市左營區自由二路230號1樓,17：30～1：00,店家電話：07 556 6080,,
酒吞 割烹 居酒屋,2017年12月,高雄,店家地址：高雄市前金區仁德街238號,一～四18：00～11：30／五、六：18：00～1：30（週日公休）,店家電話：07 241 0627,,
THOMAS CHIEN 法式餐廳,2016年/1月,高雄,高雄市前鎮區成功二路11號(高雄軟體科技園區),11:30~14:30；18:00~22:30,07-5369436,,
高雄晶英國際行館~UKAI牛排館,2017年/12月,高雄,高雄市前鎮區中山二路199號,1200~1500 1800~2200,07 973 0189,,
Woo Taiwan,2017年/10月,高雄,高雄市鼓山區青海路298號,11:00-22:00,07-5597998,,
茉莉小廚風味早午餐,106年/12月,高雄,高雄市小港區宏光街249號,平日6:00-12:30 假日6:00-13:30 (暫無公休日),07-80700862,,
田心越南河粉,2017年/12月,高雄,高雄市苓雅區光華二路431號,am 11:00 ~ 14:00 ; pm 17:00 ~ 23:00,07-338-6631,,
BITCH小姐,2017年10月,高雄,高雄市左營區新上街307巷9號,18:00-03:00,0936771960,,
光華延陵溫州大餛飩,2017年4月,高雄,高雄市前鎮區光華二路441號,1630-2400,07-334-7543,,
廣澤鮓日本料理,2017年/10月,高雄,高雄市前金區文武二街163號,11:30-14:00，17:30-21:00,07 231-1922,,
阿蓮河粉,2018年/03月,高雄,高雄市苓雅區自強三路105號,11:00~00:30,07 333 7403,,
鮨二七,2017年10月,高雄,店家地址：高雄市苓雅區永明街27號1樓,12：00～14：30 / 18：00～22：00（週二公休）,店家電話：07 211 9262,,
犇 三牛牛肉麵,2018年3月,高雄,高雄市左營區勝利路85號,11:00-20:30,07-5887264,,
大八日本料理四維店,2018年2月,高雄,高雄市苓雅區四維二路144號,平日及假日 11:30-14:00、17:30-21:30,07-334-4141,,
A little more 多一點 cafe 文化館,2017年/10月,高雄,高雄市苓雅區同慶路138號 (捷運橘線-文化中心站),AM9:00~PM5:00,07-2238389,,
漢來大飯店 11樓 池畔餐廳 Pool Side Cafe,2017年10月,高雄,店家地址：高雄市前金區成功一路266號11樓（即漢來大飯店11F）,11：30～14：30／17：30～21：30（週一到週五）,店家電話：07 213 5753,,
啡你莫屬-Only You,2017年11月底,高雄,高雄市左營區果峰街12巷28號,08:00-14:00,07-5886601,,
角洲牛排館,2018年02月,高雄,店家地址：高雄市新興區民生二路42號,11：00～14：00 / 17：00～21：00,店家電話：07 221 4711,,
亞力的家法式薄餅小館,2018年/2月,高雄,高雄市苓雅區中山二路342號,平常日11：00 ~ 21：00 (星期二休),07 338 5665,,
Chez Alexandre 亞力的家法式薄餅小館,2018年/4月,高雄,高雄市苓雅區中山二路342號,11:00am ~ 9:00pm  週二店休,07 338 5665,,
鍋兵鍋將,2017年/11月,高雄,高雄市苓雅區光華二路450號,17:00-00:00,07-7414094,,
沃野山丘 Oh Yeah villa,2017年/10月,高雄,高雄市燕巢區尖山里過鞍巷131之1號,10:00~21:00，每週三、四公休,07-6163716,,
逸之牛 二店,2017年11月,高雄,店家地址：高雄市新興區中正四路46號,17：30～00：30（平日）11：30～14：30/17：30～00：30（假日）,店家電話：07 286 0606（二店不接受訂位，只接受現場候位）,,
三隻小豬炸雞&鹽水雞,2017年/11月,高雄,高雄市苓雅區和平一路262號1樓(近大統和平百貨,12:00-23:00(休日,(07)223-0299,,
樹‧go eat,2017年/10月,高雄,高雄市鹽埕區七賢二路455號之1,15:00-20:00  (售完為止),07 531-1786,,
米禾食間,106年/12月,高雄,高雄市前鎮區新光路17號,10:30-21:00,07 5365060,,
六吋盤早午餐 小港漢民店,2018年/2月,高雄,高雄市小港區漢民路800號 （台糖超市旁邊),06:30-14:30 最後點餐時間13:30,,每人平均價位：150,
Woosaパンケーキ 屋莎鬆餅屋 高雄時代店,2017年12月30日,高雄,高雄市前鎮區中華五路789號 統一時代百貨3樓,每天 11:00~22:00,(07) 821-3465,,
老二腿庫飯,2017年/12月,高雄,高雄市苓雅區興中二路118號, 9:00pm~4:30am (每月3天不固定休), (07) 333-2779,,
禾莊壽司,2017年/10月,高雄,高雄市鳳山區自強一路190號,午11:00～14:00; 晚17:00～20:30(可提前來電預約),07-831-1180,,
素描學派,2017年/10月,高雄,高雄市楠梓區藍田路656號,"12:00-15:00, 17:00-21:00",07-360-8239,,
猜心泡芙,2017年12月,高雄,高雄市苓雅區泰順街60號,1500-售完,,每人平均價位：50-150元,
麵屋武藏-武骨相傳,2018年/01月,高雄,高雄市前鎮區中華五路789號7樓,11:00~22:00,07-812-7198,,
海洋微光OCEAN LIGHT,2018年/03月,高雄,高雄市楠梓區援中路550號,16:00~00:00,07 364 1133,,
快慢拍小姐,2017年/9月,高雄,高雄市苓雅區三多三路222-1號,7:00-10:00,0909-616-479,,
宮圓日本料理,2017年10月,高雄,店家地址：高雄市苓雅區苓中路16號,11：30～14：00 / 17：30～21：00,店家電話：07 332 5587,,
漢來45F鐵板燒,2018年/1月,高雄, 高雄市前金區成功一路266號45樓, 午餐11:30~14:30, (07) 213 5767,,
林家水餃湯包麵食小館,2018年/2月,高雄,高雄市苓雅區光華二路386號,11:30~00:30,07-725-7055,,
ALIEN HOUSE,2017年/12月,高雄,高雄市苓雅區同慶路58-1號,10:00～20:00(週二公休),0930 619 805,,
好雙2ins:H Cafe,2017年/08月(二訪：2017年/10月),高雄,高雄市鹽埕區大成街73號,13:00 ~ 18:00（週一公休）,（07）521-6476,,
哩啦歐亞融合料理,2018年02月,高雄,店家地址：高雄市苓雅區林泉街80巷6號,11：00～14：00 / 17：30～21：00（週二至週五）,店家電話：07 722 3270,,
Aluvbe Cakery 艾樂比手作烘培坊,106年/12月/31日,高雄,高雄市鹽埕區新興街137號,星期三-星期日、12:00-20:00,07-521-1147,,
大八日本料理,2017年/11月,高雄,高雄市苓雅區四維二路144號,午餐11:30~13:40 晚餐17:00~21:30,07-3344141,,
白帽廚坊,2017年/10月,高雄, 高雄市鼓山區青海路266號,"11:30-14:00,17:30-21:00",07-554-5252,,
文璋陽春麵,2017年/10月,高雄,高雄市前鎮區民裕街73號,12:00-21:00,07-3323726,,
老新台菜,2018年/03月,高雄,高雄市三民區十全三路265號,"11:30-14:00, 17:30- 22:00",(07) 311-8099,,
J&H美食坊,2017年/11月,高雄,高雄市苓雅區四維四路190號,11：00-14：00/1700-2100,（07）269-1121,,
兩餐,2017年/10月,高雄,高雄市新興區中山一路263號,11:00-23:00,07-288-8588,,
愛屋吉屋,2017年11月,高雄,高雄市左營區自由四路11號,,7-341-8297,,
回春堂惡魔珍奶,2018/1,高雄,高雄市鼓山區濱海一路111號,11:30-19:30,07-5315912,,
妖怪米熱狗,2017年/10月,高雄,高雄市鼓山區麗雄街65號,,0936-614-282,,
胡椒廚房,2017年/10月,高雄,高雄市前鎮區中山四路100號大道西2樓,,,,
丹路原塊牛排 DANRO Steak & Rice,2017年/10月,高雄,高雄市苓雅區自強三路116號,17:00 - 00:30(每周三公休),-,,
南記山東手工饅頭,2016年/5月,高雄,高雄市鳳山區自由路242號,6:00-18:00 (禮拜六只賣到中午12點),07  747-8166,,
福川町,2018年02月,高雄,店家地址：高雄市三民區正興路180號,11：30～14：00 / 17：00～21：00,店家電話：07 380 7870,,
維納斯義式餐廳,2018年/3月,高雄,高雄市苓雅區林泉街106號,11:00~15:00(供餐至14:30)。,07-7278684,,
大松日本料理,2018年03月,高雄,店家地址：高雄市鹽埕區大禮街56號,11：00～14：00 / 17：30～21：30（週一公休）,店家電話：07 561 7501,,
晶英酒店 UKAI鐵板燒,2017年/12月,高雄,高雄市前鎮區中山二路199號,1200~1500 1800~2200,07 973 0189,,
Bite Bistro 最後一口,2018年02月,高雄,店家地址：高雄市苓雅區武廟路135巷9號,11：30～14：30 / 17：30～21：30（週三公休）,店家電話：07 722 7790,,
H2O Hotel Ripple 水京棧義法餐廳,2017年/12月,高雄,高雄市鼓山區明華路366號,12:00-14:30 / 18:00-21:00,07 553 7001,,
安口安口炸雞,2017年/11月,高雄,高雄市左營區華夏路1123-1號 (華夏&大中路口),11:00-21:00,07 350-0252,,
郭家肉粽,2016年/12月,高雄,高雄市鹽埕區北斗街19號,07:00–23:00,07 551 2747,,
香月壽司 割烹,2017年11月,高雄,店家地址：高雄市新興區復興二路300-1號,11：30～13：30 / 17：30～21：30（週一公休）,店家電話：07 225 5858,,
麥氏咖啡 X GEMI Lifestyle,2018/1,高雄,高雄市苓雅區廣東一街57號,週三、週四、週日 11:30-18:30,壞了,,
八月堂,106年/11月,高雄,高雄市左營區高鐵路123號B2,,07 345 4435,,
woo cafe Taiwan 高雄旗艦店,2017/12,高雄,高雄市鼓山區青海路298號,10:00-22:00,07-5597998,,
甘家黑輪,2018年/3月,高雄,高雄市苓雅區自強三路120巷8號,11:30~18:00(農曆初三、十七固定休假，遇假日順延),07-3326440,,
TINO's PIZZA,2017年/12月,高雄,高雄市三民區河堤路320號,11:00-21:30, (07) 3413089,,
美饌Urban Cafe,2017年/12月,高雄,高雄市新興區民族二路33號,"11:30AM–2PM, 5:30–9PM",07-222-1333,,
東港現撈生魚片,2018 年/ 1 月,高雄,高雄市左營區重信路587號,16:00~22:00,0986-118-428,,
巴堂峰蜜蛋糕,2016年/3月,高雄,高雄市鹽埕區大勇路127號,全年無休，9:00-21:30,07-561-3649,,
京悅軒,2018年1月,高雄,店家地址：高雄市鼓山區明華路366號 H2O水京棧2F,11：30～14：00 / 17：30～21：00,店家電話：07 553 7001,,
龜一烏龍麵 陽光大飯店2樓,2017年12月,高雄,店家地址：高雄市苓雅區中華四路75號2樓,11：00～14：00,店家電話：07 332 0888,,
次郎本格日本料理,2017年/12月,高雄,高雄市新興區中正四路64號(美麗島捷運站1號出口步行約3分鐘),11:30~21:30,(07)288-1258,,
猜心泡芙,2018/1,高雄,高雄市苓雅區泰順街60號,15:00-18:00,無,,
鬼武 壽喜燒 炙燒原塊牛排,2017年12月,高雄,店家地址：高雄市鳳山區建國路三段337號,11：00～16：30 / 17：00～23：00,店家電話：07 780 8756,,
深川鍋,2017年/10月,高雄,高雄市苓雅區三多一路315號,11:00-23:00,07 7211882,,
抹森甜室 La Maison du Midori,2018年2月25日,高雄,高雄市楠梓區土庫二路52號,星期三~日 12:00~19:00 或完售,(07) 353-5649,,
厚德福餐館,2017年4月,高雄,高雄市苓雅區自強三路156號,11:00-21:00(無定休),(07)269-2912,,
WOOSA鬆餅屋,2018年/02月,高雄,高雄市苓雅區三多四路21號2樓 (大遠百2F),11:00–22:00, (07) 338 3806,,
鹽埕茶町Matcha City,2018年/02月,高雄,高雄市鹽埕區瀨南街35號,13:00~18:00,07-222-8250,,
玉豆腐-夢時代店,2017年/10月,高雄,高雄夢時代購物中心藍鯨館B1,11:00-22:00,07 537 9035,,
波特廚房,,高雄,高雄市鼓山區美術東五路59號2樓," 11:00–15:00, 17:30–22:00", (07) 553 4488,,
縣爺土雞城,2017年/12月,高雄,高雄市新興區七賢一路470號,,(07)238-0788~9,,
綸手坊,2018年/1月,高雄,高雄市三民區建武路220號,17:30 - 23:30 週三公休,07 398 2289,,
